Set test time: 1900 s
=========Thermal Cap[pxa1936ff]==========
time temp CPU0 CPU4 GC2D GC3D DDR
103 36000 416000 624000 78000 156000 156000
104 36000 416000 624000 78000 156000 156000
105 36000 416000 624000 78000 156000 156000
106 36000 416000 624000 78000 156000 156000
107 36000 416000 624000 78000 156000 156000
108 36000 416000 624000 78000 156000 156000
109 36000 416000 624000 78000 156000 156000
110 36000 416000 624000 78000 156000 156000
112 36000 416000 624000 78000 156000 156000
113 36000 416000 624000 78000 156000 156000
114 36000 416000 624000 78000 156000 156000
115 36000 416000 624000 78000 156000 156000
116 36000 416000 624000 78000 156000 156000
117 36000 416000 624000 78000 156000 156000
118 36000 416000 624000 78000 156000 156000
119 36000 416000 624000 78000 156000 156000
120 36000 416000 624000 78000 156000 156000
121 36000 416000 624000 78000 156000 156000
122 36000 416000 624000 78000 156000 156000
123 36000 416000 624000 78000 156000 156000
124 36000 416000 416000 78000 156000 156000
125 36000 416000 624000 78000 156000 156000
126 36000 416000 624000 78000 156000 156000
127 36000 416000 624000 78000 156000 156000
128 36000 416000 624000 78000 156000 156000
129 36000 416000 624000 78000 156000 156000
130 36000 416000 624000 78000 156000 156000
131 36000 416000 624000 78000 156000 156000
133 36000 416000 624000 78000 156000 156000
134 36000 416000 624000 78000 156000 156000
135 36000 416000 624000 78000 156000 156000
136 36000 416000 624000 78000 156000 156000
137 36000 416000 624000 78000 156000 156000
138 36000 416000 624000 78000 156000 156000
139 36000 416000 624000 78000 156000 156000
140 36000 416000 624000 78000 156000 156000
141 36000 416000 624000 78000 156000 156000
142 36000 416000 624000 78000 156000 156000
143 36000 416000 624000 78000 156000 156000
144 36000 416000 624000 78000 156000 156000
145 36000 416000 624000 78000 156000 156000
146 36000 416000 624000 78000 156000 156000
147 36000 416000 624000 78000 156000 156000
148 36000 416000 624000 78000 156000 156000
